model,hypothesis,parameters,epochs_trained,best_epoch,training_time_seconds,train_accuracy_at_best_epoch,best_validation_accuracy,best_validation_loss,generalization_gap,gpu_devices
model_b_deeper,"Adding a third convolution block should learn more complex disaster patterns, but may increase overfitting.",110276,25,25,177.68736413700003,0.8766396045684814,0.8366833925247192,0.4522937834262848,0.03995621204376221,['/physical_device:GPU:0']
model_a_baseline,"A small two-block CNN provides a fast reference for accuracy, generalization, parameter count, and training time.",28228,25,25,159.17273723300013,0.8012179732322693,0.7839195728302002,0.5933106541633606,0.017298400402069092,['/physical_device:GPU:0']
model_d_custom,"Parallel 3x3 and 5x5 filters should capture both local damage details and wider smoke, fire, flood, or rubble patterns.",140420,21,16,485.1720168059999,0.841349184513092,0.7688442468643188,0.6960071325302124,0.0725049376487732,['/physical_device:GPU:0']
model_c_regularized,"Batch normalization, dropout, and training-only augmentation should reduce the generalization gap of the deeper model.",110948,9,4,136.31789526299985,0.7584322094917297,0.75,0.676824152469635,0.008432209491729736,['/physical_device:GPU:0']
