accuracy,loss,val_accuracy,val_loss
0.5140537023544312,1.0774633884429932,0.623115599155426,0.9167851805686951
0.6706745624542236,0.8307036757469177,0.6695979833602905,0.8313795924186707
0.7175202965736389,0.7235816717147827,0.7060301303863525,0.7528337836265564
0.7398501038551331,0.6786319613456726,0.7311557531356812,0.7080102562904358
0.7576514482498169,0.6431478261947632,0.7487437129020691,0.6709977388381958
0.7682698369026184,0.615826427936554,0.7613065242767334,0.641697108745575
0.7742035984992981,0.5903515219688416,0.7675879597663879,0.6277806162834167
0.7809181809425354,0.5710370540618896,0.770100474357605,0.6248294711112976
0.7863835096359253,0.5548648238182068,0.770100474357605,0.6213383674621582
0.7921611666679382,0.5366382002830505,0.7814070582389832,0.6145599484443665
0.7995002865791321,0.5206776261329651,0.7738693356513977,0.6142438054084778
0.8046533465385437,0.5064984560012817,0.7814070582389832,0.600954532623291
0.8116801977157593,0.49173209071159363,0.7776381969451904,0.6097349524497986
0.8149594068527222,0.4772665500640869,0.8002512454986572,0.5464573502540588
0.8208931684494019,0.4624132513999939,0.8052763938903809,0.5465259552001953
0.828388512134552,0.4486396610736847,0.8077889680862427,0.528782069683075
0.8344784379005432,0.4366677403450012,0.8103014826774597,0.5151498317718506
0.8411930203437805,0.4253968894481659,0.8190954923629761,0.4964982271194458
0.8461898565292358,0.41320735216140747,0.8304020166397095,0.4836578667163849
0.8519675135612488,0.3963957130908966,0.8190954923629761,0.4850451350212097
0.8554028868675232,0.38398870825767517,0.8278894424438477,0.4731927514076233
0.8589943647384644,0.37362101674079895,0.8304020166397095,0.4890038073062897
0.8682073950767517,0.3578341007232666,0.8329145908355713,0.46899908781051636
0.8719550371170044,0.34902268648147583,0.8417085409164429,0.45757684111595154
0.8766396045684814,0.3370417058467865,0.8366833925247192,0.4522937834262848
