accuracy,loss,val_accuracy,val_loss
0.6597439050674438,0.842189371585846,0.3341708481311798,1.720872402191162
0.7286071181297302,0.6995694637298584,0.4861809015274048,1.2559146881103516
0.7471892833709717,0.6513947248458862,0.5402010083198547,1.472078561782837
0.767020583152771,0.6141258478164673,0.5075376629829407,1.499106526374817
0.7815427780151367,0.5809457302093506,0.5351758599281311,1.513224720954895
0.7893503904342651,0.5627102851867676,0.6017587780952454,1.145675778388977
0.8007495403289795,0.5330105423927307,0.47110551595687866,2.1067097187042236
0.8004372119903564,0.5252360105514526,0.5590452551841736,1.4594072103500366
0.8057464361190796,0.5042973160743713,0.6783919334411621,0.9539952278137207
0.8141786456108093,0.48892533779144287,0.7160804271697998,0.7945953011512756
0.8199563026428223,0.48764580488204956,0.7022613286972046,0.9203082323074341
0.8202685713768005,0.464779794216156,0.7349246144294739,0.755167543888092
0.8251093029975891,0.4607028663158417,0.7060301303863525,0.9184682369232178
0.8282323479652405,0.4492550790309906,0.6783919334411621,1.1029185056686401
0.8393191695213318,0.4300812780857086,0.5489949584007263,1.7060401439666748
0.841349184513092,0.4293324649333954,0.7688442468643188,0.6960071325302124
0.8483760356903076,0.41343221068382263,0.733668327331543,0.8637117147445679
0.8504059910774231,0.399837851524353,0.7110552787780762,0.9553950428962708
0.8533728718757629,0.3902938961982727,0.7361809015274048,0.8297879695892334
0.8543097972869873,0.39105868339538574,0.6017587780952454,1.3573261499404907
0.8594628572463989,0.3755010962486267,0.7173366546630859,0.8882045745849609
