accuracy,loss,val_accuracy,val_loss
0.4392567276954651,1.1951578855514526,0.5012562870979309,1.0608326196670532
0.5822923183441162,0.9868671298027039,0.5954774022102356,0.9341627955436707
0.6474078893661499,0.8873879909515381,0.6206030249595642,0.8964598178863525
0.6731730103492737,0.8251208066940308,0.6545225977897644,0.8480992913246155
0.6937851309776306,0.7769228219985962,0.6721105575561523,0.8112773299217224
0.7151780128479004,0.740940511226654,0.6947236061096191,0.7705234289169312
0.7339162826538086,0.7058406472206116,0.7085427045822144,0.7417160868644714
0.7426608204841614,0.6841241717338562,0.7160804271697998,0.7267710566520691
0.7507807612419128,0.6657813787460327,0.7324120402336121,0.7044396996498108
0.7571830153465271,0.6488242745399475,0.7386934757232666,0.6909753084182739
0.7634291052818298,0.6341906785964966,0.7550251483917236,0.677730917930603
0.7685821652412415,0.6219327449798584,0.7525125741958618,0.6688256859779358
0.7704559564590454,0.6096463799476624,0.7562814354896545,0.655834436416626
0.7738913297653198,0.598766565322876,0.7613065242767334,0.6496412754058838
0.7745159268379211,0.588441789150238,0.7600502371788025,0.6488646864891052
0.7773266434669495,0.5805812478065491,0.770100474357605,0.6381234526634216
0.7806058526039124,0.5720402002334595,0.7726130485534668,0.6300687789916992
0.785758912563324,0.5653877258300781,0.770100474357605,0.6245889067649841
0.7874765992164612,0.5581555366516113,0.7726130485534668,0.6171377897262573
0.7888819575309753,0.552986204624176,0.7726130485534668,0.6143468618392944
0.7896627187728882,0.5465888381004333,0.7751256227493286,0.6099063158035278
0.7920050024986267,0.5409837365150452,0.7751256227493286,0.6006471514701843
0.794815719127655,0.5350632071495056,0.7801507711410522,0.5989978313446045
0.7977826595306396,0.5302022099494934,0.7826633453369141,0.5956946015357971
0.8012179732322693,0.5238829255104065,0.7839195728302002,0.5933106541633606
