,precision,recall,f1-score,support
Earthquake,0.6050955414012739,0.8333333333333334,0.7011070110701108,114.0
Fire,0.8872549019607843,0.8701923076923077,0.8786407766990292,208.0
Flood,0.8289473684210527,0.7907949790794979,0.8094218415417559,239.0
Normal,0.775,0.6798245614035088,0.7242990654205608,228.0
accuracy,0.7858048162230672,0.7858048162230672,0.7858048162230672,0.7858048162230672
macro avg,0.7740744529457777,0.7935362953771619,0.7783671736828641,789.0
weighted avg,0.7963857191130798,0.7858048162230672,0.787421404131506,789.0
