,precision,recall,f1-score,support
Earthquake,0.5921787709497207,0.9298245614035088,0.7235494880546075,114.0
Fire,0.7480314960629921,0.9134615384615384,0.8225108225108225,208.0
Flood,0.8947368421052632,0.7824267782426778,0.8348214285714286,239.0
Normal,0.8639455782312925,0.5570175438596491,0.6773333333333333,228.0
accuracy,0.7731305449936628,0.7731305449936628,0.7731305449936628,0.7731305449936628
macro avg,0.7747231718373171,0.7956826054918436,0.764553768117548,789.0
weighted avg,0.8034481979331599,0.7731305449936628,0.7699888645742051,789.0
