,precision,recall,f1-score,support
Earthquake,0.7578125,0.8508771929824561,0.8016528925619835,114.0
Fire,0.9411764705882353,0.9230769230769231,0.9320388349514563,208.0
Flood,0.835820895522388,0.9372384937238494,0.883629191321499,239.0
Normal,0.8888888888888888,0.7368421052631579,0.8057553956834532,228.0
accuracy,0.8631178707224335,0.8631178707224335,0.8631178707224335,0.8631178707224335
macro avg,0.855924688749878,0.8620086787615967,0.855769078629598,789.0
weighted avg,0.8676593049161855,0.8631178707224335,0.8620432374697523,789.0
