,precision,recall,f1-score,support
Earthquake,0.6643356643356644,0.8333333333333334,0.7392996108949417,114.0
Fire,0.9058823529411765,0.7403846153846154,0.8148148148148148,208.0
Flood,0.7935222672064778,0.8200836820083682,0.8065843621399177,239.0
Normal,0.7074235807860262,0.7105263157894737,0.7089715536105032,228.0
accuracy,0.7693282636248415,0.7693282636248415,0.7693282636248415,0.7693282636248415
macro avg,0.7677909663173362,0.7760819866289477,0.7674175853650443,789.0
weighted avg,0.7795972033302822,0.7693282636248415,0.770824859186489,789.0
